Madár_id;Felhasználó;Típus;Központ;Gyûrû;Jelentett faj;Jelentett faj latin;Ivar;Dátum
5911139;Példa Laci;Gyûrûzés;Budapest;XB16376   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.25
5911140;Példa Laci;Gyûrûzés;Budapest;XB16377   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.25
5911141;Példa Laci;Gyûrûzés;Budapest;XB16378   ;Nádirigó;Acrocephalus arundinaceus;Ismeretlen;2019.08.25
5911142;Példa Laci;Gyûrûzés;Budapest;XB16379   ;Tövisszúró gébics;Lanius collurio;Ismeretlen;2019.08.25
5685554;Példa Laci;Visszafogás;Budapest;430594    ;Tõkés réce;Anas platyrhynchos;Ismeretlen;2019.08.25
5907580;Példa Laci;Visszafogás;Budapest;J12682    ;Nyaktekercs;Jynx torquilla;Ismeretlen;2019.08.21
4878599;Példa Laci;Visszafogás;Budapest;K451721   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.08.21
5099180;Példa Laci;Visszafogás;Budapest;K452154   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.08.19
5259538;Példa Laci;Visszafogás;Budapest;K602722   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.08.24
5260918;Példa Laci;Visszafogás;Budapest;K604096   ;Foltos nádiposzáta;Acrocephalus schoenobaenus;Ismeretlen;2019.08.24
5375430;Példa Laci;Visszafogás;Budapest;K745580   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.23
5375629;Példa Laci;Visszafogás;Budapest;K745704   ;Fülemülesitke;Acrocephalus melanopogon;Tojó;2019.08.23
5577058;Példa Laci;Visszafogás;Budapest;K746084   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.08.17
5637213;Példa Laci;Visszafogás;Budapest;K748897   ;Cserregõ nádiposzáta;Acrocephalus scirpaceus;Ismeretlen;2019.08.19
5579467;Példa Laci;Visszafogás;Budapest;N216229   ;Zöldike;Carduelis chloris;Tojó;2019.08.25
5637191;Példa Laci;Visszafogás;Budapest;N261170   ;Széncinege;Parus major;Tojó;2019.08.25
5841823;Példa Laci;Visszafogás;Budapest;N261401   ;Fülemüle;Luscinia megarhynchos;Ismeretlen;2019.08.18
5841823;Példa Laci;Visszafogás;Budapest;N261401   ;Fülemüle;Luscinia megarhynchos;Ismeretlen;2019.08.23
5857374;Példa Laci;Visszafogás;Budapest;N261423   ;Széncinege;Parus major;Tojó;2019.08.16
5907849;Példa Laci;Visszafogás;Budapest;N261433   ;Fülemüle;Luscinia megarhynchos;Ismeretlen;2019.08.20
5907867;Példa Laci;Visszafogás;Budapest;N261451   ;Zöldike;Carduelis chloris;Hím;2019.08.21
5907878;Példa Laci;Visszafogás;Budapest;N261462   ;Zöldike;Carduelis chloris;Hím;2019.08.19
5907887;Példa Laci;Visszafogás;Budapest;N261471   ;Zöldike;Carduelis chloris;Tojó;2019.08.17
5686401;Példa Laci;Visszafogás;Budapest;P103166   ;Nádi sármány;Emberiza schoeniclus;Hím;2019.08.20
